snapshot_date,project_name,platform,loader_group,daily_downloads,rolling_avg_7d
2026-03-27,HearthGuard,curseforge,fabric,51,
2026-03-28,HearthGuard,curseforge,fabric,37,51.0
2026-03-29,HearthGuard,curseforge,fabric,30,44.0
2026-03-30,HearthGuard,curseforge,fabric,38,39.333333333333336
2026-03-31,HearthGuard,curseforge,fabric,37,39.0
2026-04-01,HearthGuard,curseforge,fabric,17,38.6
2026-04-02,HearthGuard,curseforge,fabric,40,35.0
2026-04-03,HearthGuard,curseforge,fabric,24,35.714285714285715
2026-04-04,HearthGuard,curseforge,fabric,42,31.857142857142858
2026-04-05,HearthGuard,curseforge,fabric,29,32.57142857142857
2026-04-06,HearthGuard,curseforge,fabric,30,32.42857142857143
2026-04-07,HearthGuard,curseforge,fabric,17,31.285714285714285
2026-04-08,HearthGuard,curseforge,fabric,24,28.428571428571427
2026-04-09,HearthGuard,curseforge,fabric,18,29.428571428571427
2026-04-10,HearthGuard,curseforge,fabric,16,26.285714285714285
2026-04-11,HearthGuard,curseforge,fabric,36,25.142857142857142
2026-03-27,HearthGuard,curseforge,neoforge,18,
2026-03-28,HearthGuard,curseforge,neoforge,9,18.0
2026-03-29,HearthGuard,curseforge,neoforge,11,13.5
2026-03-30,HearthGuard,curseforge,neoforge,6,12.666666666666666
2026-03-31,HearthGuard,curseforge,neoforge,14,11.0
2026-04-01,HearthGuard,curseforge,neoforge,10,11.6
2026-04-02,HearthGuard,curseforge,neoforge,25,11.333333333333334
2026-04-03,HearthGuard,curseforge,neoforge,27,13.285714285714286
2026-04-04,HearthGuard,curseforge,neoforge,6,14.571428571428571
2026-04-05,HearthGuard,curseforge,neoforge,28,14.142857142857142
2026-04-06,HearthGuard,curseforge,neoforge,20,16.571428571428573
2026-04-07,HearthGuard,curseforge,neoforge,26,18.571428571428573
2026-04-08,HearthGuard,curseforge,neoforge,15,20.285714285714285
2026-04-09,HearthGuard,curseforge,neoforge,19,21.0
2026-04-10,HearthGuard,curseforge,neoforge,7,20.142857142857142
2026-04-11,HearthGuard,curseforge,neoforge,20,17.285714285714285
2026-03-27,HearthGuard,modrinth,fabric,14,
2026-03-28,HearthGuard,modrinth,fabric,16,14.0
2026-03-29,HearthGuard,modrinth,fabric,14,15.0
2026-03-30,HearthGuard,modrinth,fabric,6,14.666666666666666
2026-03-31,HearthGuard,modrinth,fabric,8,12.5
2026-04-01,HearthGuard,modrinth,fabric,10,11.6
2026-04-02,HearthGuard,modrinth,fabric,17,11.333333333333334
2026-04-03,HearthGuard,modrinth,fabric,16,12.142857142857142
2026-04-04,HearthGuard,modrinth,fabric,18,12.428571428571429
2026-04-05,HearthGuard,modrinth,fabric,14,12.714285714285714
2026-04-06,HearthGuard,modrinth,fabric,17,12.714285714285714
2026-04-07,HearthGuard,modrinth,fabric,11,14.285714285714286
2026-04-08,HearthGuard,modrinth,fabric,12,14.714285714285714
2026-04-09,HearthGuard,modrinth,fabric,15,15.0
2026-04-10,HearthGuard,modrinth,fabric,12,14.714285714285714
2026-04-11,HearthGuard,modrinth,fabric,18,14.142857142857142
2026-03-27,HearthGuard,modrinth,neoforge,1,
2026-03-28,HearthGuard,modrinth,neoforge,2,1.0
2026-03-29,HearthGuard,modrinth,neoforge,7,1.5
2026-03-30,HearthGuard,modrinth,neoforge,3,3.3333333333333335
2026-03-31,HearthGuard,modrinth,neoforge,2,3.25
2026-04-01,HearthGuard,modrinth,neoforge,4,3.0
2026-04-02,HearthGuard,modrinth,neoforge,7,3.1666666666666665
2026-04-03,HearthGuard,modrinth,neoforge,4,3.7142857142857144
2026-04-04,HearthGuard,modrinth,neoforge,8,4.142857142857143
2026-04-05,HearthGuard,modrinth,neoforge,1,5.0
2026-04-06,HearthGuard,modrinth,neoforge,1,4.142857142857143
2026-04-07,HearthGuard,modrinth,neoforge,4,3.857142857142857
2026-04-08,HearthGuard,modrinth,neoforge,3,4.142857142857143
2026-04-09,HearthGuard,modrinth,neoforge,4,4.0
2026-04-10,HearthGuard,modrinth,neoforge,4,3.5714285714285716
2026-04-11,HearthGuard,modrinth,neoforge,10,3.5714285714285716
