snapshot_date,project_name,platform,mc_version,daily_downloads,rolling_avg_7d
2026-04-17,CinderStride,curseforge,1.21.1,11,
2026-04-18,CinderStride,curseforge,1.21.1,10,11.0
2026-04-19,CinderStride,curseforge,1.21.1,3,10.5
2026-04-20,CinderStride,curseforge,1.21.1,0,8.0
2026-04-21,CinderStride,curseforge,1.21.1,2,6.0
2026-04-22,CinderStride,curseforge,1.21.1,2,5.2
2026-04-23,CinderStride,curseforge,1.21.1,5,4.666666666666667
2026-04-24,CinderStride,curseforge,1.21.1,3,4.714285714285714
2026-04-25,CinderStride,curseforge,1.21.1,2,3.5714285714285716
2026-04-26,CinderStride,curseforge,1.21.1,12,2.4285714285714284
2026-04-27,CinderStride,curseforge,1.21.1,1,3.7142857142857144
2026-04-28,CinderStride,curseforge,1.21.1,9,3.857142857142857
2026-04-29,CinderStride,curseforge,1.21.1,6,4.857142857142857
2026-04-30,CinderStride,curseforge,1.21.1,4,5.428571428571429
2026-05-01,CinderStride,curseforge,1.21.1,24,5.285714285714286
2026-04-17,CinderStride,curseforge,1.21.11,16,
2026-04-18,CinderStride,curseforge,1.21.11,1,16.0
2026-04-19,CinderStride,curseforge,1.21.11,0,8.5
2026-04-20,CinderStride,curseforge,1.21.11,12,5.666666666666667
2026-04-21,CinderStride,curseforge,1.21.11,3,7.25
2026-04-22,CinderStride,curseforge,1.21.11,0,6.4
2026-04-23,CinderStride,curseforge,1.21.11,3,5.333333333333333
2026-04-24,CinderStride,curseforge,1.21.11,3,5.0
2026-04-25,CinderStride,curseforge,1.21.11,2,3.142857142857143
2026-04-26,CinderStride,curseforge,1.21.11,6,3.2857142857142856
2026-04-27,CinderStride,curseforge,1.21.11,2,4.142857142857143
2026-04-28,CinderStride,curseforge,1.21.11,0,2.7142857142857144
2026-04-29,CinderStride,curseforge,1.21.11,3,2.2857142857142856
2026-04-30,CinderStride,curseforge,1.21.11,0,2.7142857142857144
2026-05-01,CinderStride,curseforge,1.21.11,16,2.2857142857142856
2026-04-17,CinderStride,curseforge,26.1,27,
2026-04-18,CinderStride,curseforge,26.1,9,27.0
2026-04-19,CinderStride,curseforge,26.1,2,18.0
2026-04-20,CinderStride,curseforge,26.1,6,12.666666666666666
2026-04-21,CinderStride,curseforge,26.1,7,11.0
2026-04-22,CinderStride,curseforge,26.1,7,10.2
2026-04-23,CinderStride,curseforge,26.1,1,9.666666666666666
2026-04-24,CinderStride,curseforge,26.1,3,8.428571428571429
2026-04-25,CinderStride,curseforge,26.1,4,5.0
2026-04-26,CinderStride,curseforge,26.1,9,4.285714285714286
2026-04-27,CinderStride,curseforge,26.1,10,5.285714285714286
2026-04-28,CinderStride,curseforge,26.1,1,5.857142857142857
2026-04-29,CinderStride,curseforge,26.1,1,5.0
2026-04-30,CinderStride,curseforge,26.1,0,4.142857142857143
2026-05-01,CinderStride,curseforge,26.1,0,4.0
2026-05-01,CinderStride,curseforge,26.1.2,21,
2026-04-17,Dirigo,curseforge,1.21.1,14,
2026-04-18,Dirigo,curseforge,1.21.1,7,14.0
2026-04-19,Dirigo,curseforge,1.21.1,4,10.5
2026-04-20,Dirigo,curseforge,1.21.1,0,8.333333333333334
2026-04-21,Dirigo,curseforge,1.21.1,1,6.25
2026-04-22,Dirigo,curseforge,1.21.1,1,5.2
2026-04-23,Dirigo,curseforge,1.21.1,5,4.5
2026-04-24,Dirigo,curseforge,1.21.1,2,4.571428571428571
2026-04-25,Dirigo,curseforge,1.21.1,2,2.857142857142857
2026-04-26,Dirigo,curseforge,1.21.1,13,2.142857142857143
2026-04-27,Dirigo,curseforge,1.21.1,1,3.4285714285714284
2026-04-28,Dirigo,curseforge,1.21.1,8,3.5714285714285716
2026-04-29,Dirigo,curseforge,1.21.1,5,4.571428571428571
2026-04-30,Dirigo,curseforge,1.21.1,4,5.142857142857143
2026-05-01,Dirigo,curseforge,1.21.1,24,5.0
2026-04-17,Dirigo,curseforge,1.21.11,13,
2026-04-18,Dirigo,curseforge,1.21.11,0,13.0
2026-04-19,Dirigo,curseforge,1.21.11,0,6.5
2026-04-20,Dirigo,curseforge,1.21.11,6,4.333333333333333
2026-04-21,Dirigo,curseforge,1.21.11,1,4.75
2026-04-22,Dirigo,curseforge,1.21.11,0,4.0
2026-04-23,Dirigo,curseforge,1.21.11,9,3.3333333333333335
2026-04-24,Dirigo,curseforge,1.21.11,3,4.142857142857143
2026-04-25,Dirigo,curseforge,1.21.11,0,2.7142857142857144
2026-04-26,Dirigo,curseforge,1.21.11,3,2.7142857142857144
2026-04-27,Dirigo,curseforge,1.21.11,1,3.142857142857143
2026-04-28,Dirigo,curseforge,1.21.11,0,2.4285714285714284
2026-04-29,Dirigo,curseforge,1.21.11,2,2.2857142857142856
2026-04-30,Dirigo,curseforge,1.21.11,0,2.5714285714285716
2026-05-01,Dirigo,curseforge,1.21.11,17,1.2857142857142858
2026-04-17,Dirigo,curseforge,26.1,24,
2026-04-18,Dirigo,curseforge,26.1,5,24.0
2026-04-19,Dirigo,curseforge,26.1,0,14.5
2026-04-20,Dirigo,curseforge,26.1,4,9.666666666666666
2026-04-21,Dirigo,curseforge,26.1,5,8.25
2026-04-22,Dirigo,curseforge,26.1,7,7.6
2026-04-23,Dirigo,curseforge,26.1,2,7.5
2026-04-24,Dirigo,curseforge,26.1,1,6.714285714285714
2026-04-25,Dirigo,curseforge,26.1,4,3.4285714285714284
2026-04-26,Dirigo,curseforge,26.1,5,3.2857142857142856
2026-04-27,Dirigo,curseforge,26.1,7,4.0
2026-04-28,Dirigo,curseforge,26.1,2,4.428571428571429
2026-04-29,Dirigo,curseforge,26.1,2,4.0
2026-04-30,Dirigo,curseforge,26.1,0,3.2857142857142856
2026-05-01,Dirigo,curseforge,26.1,0,3.0
2026-04-30,Dirigo,curseforge,26.1.2,5,
2026-05-01,Dirigo,curseforge,26.1.2,12,5.0
2026-04-11,HearthGuard,curseforge,1.21.1,24,
2026-04-12,HearthGuard,curseforge,1.21.1,2,24.0
2026-04-13,HearthGuard,curseforge,1.21.1,18,13.0
2026-04-14,HearthGuard,curseforge,1.21.1,11,14.666666666666666
2026-04-15,HearthGuard,curseforge,1.21.1,11,13.75
2026-04-16,HearthGuard,curseforge,1.21.1,9,13.2
2026-04-17,HearthGuard,curseforge,1.21.1,12,12.5
2026-04-18,HearthGuard,curseforge,1.21.1,15,12.428571428571429
2026-04-19,HearthGuard,curseforge,1.21.1,17,11.142857142857142
2026-04-20,HearthGuard,curseforge,1.21.1,16,13.285714285714286
2026-04-21,HearthGuard,curseforge,1.21.1,6,13.0
2026-04-22,HearthGuard,curseforge,1.21.1,17,12.285714285714286
2026-04-23,HearthGuard,curseforge,1.21.1,7,13.142857142857142
2026-04-24,HearthGuard,curseforge,1.21.1,4,12.857142857142858
2026-04-25,HearthGuard,curseforge,1.21.1,15,11.714285714285714
2026-04-26,HearthGuard,curseforge,1.21.1,17,11.714285714285714
2026-04-27,HearthGuard,curseforge,1.21.1,10,11.714285714285714
2026-04-28,HearthGuard,curseforge,1.21.1,13,10.857142857142858
2026-04-29,HearthGuard,curseforge,1.21.1,7,11.857142857142858
2026-04-30,HearthGuard,curseforge,1.21.1,21,10.428571428571429
2026-05-01,HearthGuard,curseforge,1.21.1,52,12.428571428571429
2026-04-11,HearthGuard,curseforge,1.21.11,27,
2026-04-12,HearthGuard,curseforge,1.21.11,19,27.0
2026-04-13,HearthGuard,curseforge,1.21.11,17,23.0
2026-04-14,HearthGuard,curseforge,1.21.11,17,21.0
2026-04-15,HearthGuard,curseforge,1.21.11,9,20.0
2026-04-16,HearthGuard,curseforge,1.21.11,13,17.8
2026-04-17,HearthGuard,curseforge,1.21.11,7,17.0
2026-04-18,HearthGuard,curseforge,1.21.11,7,15.571428571428571
2026-04-19,HearthGuard,curseforge,1.21.11,13,12.714285714285714
2026-04-20,HearthGuard,curseforge,1.21.11,8,11.857142857142858
2026-04-21,HearthGuard,curseforge,1.21.11,14,10.571428571428571
2026-04-22,HearthGuard,curseforge,1.21.11,8,10.142857142857142
2026-04-23,HearthGuard,curseforge,1.21.11,7,10.0
2026-04-24,HearthGuard,curseforge,1.21.11,7,9.142857142857142
2026-04-25,HearthGuard,curseforge,1.21.11,10,9.142857142857142
2026-04-26,HearthGuard,curseforge,1.21.11,9,9.571428571428571
2026-04-27,HearthGuard,curseforge,1.21.11,14,9.0
2026-04-28,HearthGuard,curseforge,1.21.11,8,9.857142857142858
2026-04-29,HearthGuard,curseforge,1.21.11,6,9.0
2026-04-30,HearthGuard,curseforge,1.21.11,5,8.714285714285714
2026-05-01,HearthGuard,curseforge,1.21.11,28,8.428571428571429
2026-04-11,HearthGuard,curseforge,26.1,0,
2026-04-12,HearthGuard,curseforge,26.1,5,0.0
2026-04-13,HearthGuard,curseforge,26.1,0,2.5
2026-04-14,HearthGuard,curseforge,26.1,0,1.6666666666666667
2026-04-15,HearthGuard,curseforge,26.1,0,1.25
2026-04-16,HearthGuard,curseforge,26.1,0,1.0
2026-04-17,HearthGuard,curseforge,26.1,0,0.8333333333333334
2026-04-18,HearthGuard,curseforge,26.1,1,0.7142857142857143
2026-04-19,HearthGuard,curseforge,26.1,0,0.8571428571428571
2026-04-20,HearthGuard,curseforge,26.1,1,0.14285714285714285
2026-04-21,HearthGuard,curseforge,26.1,1,0.2857142857142857
2026-04-22,HearthGuard,curseforge,26.1,0,0.42857142857142855
2026-04-23,HearthGuard,curseforge,26.1,0,0.42857142857142855
2026-04-24,HearthGuard,curseforge,26.1,0,0.42857142857142855
2026-04-25,HearthGuard,curseforge,26.1,0,0.42857142857142855
2026-04-26,HearthGuard,curseforge,26.1,0,0.2857142857142857
2026-04-27,HearthGuard,curseforge,26.1,0,0.2857142857142857
2026-04-28,HearthGuard,curseforge,26.1,0,0.14285714285714285
2026-04-29,HearthGuard,curseforge,26.1,0,0.0
2026-04-30,HearthGuard,curseforge,26.1,0,0.0
2026-05-01,HearthGuard,curseforge,26.1,0,0.0
2026-04-11,HearthGuard,curseforge,26.1.1,2,
2026-04-12,HearthGuard,curseforge,26.1.1,0,2.0
2026-04-13,HearthGuard,curseforge,26.1.1,2,1.0
2026-04-14,HearthGuard,curseforge,26.1.1,3,1.3333333333333333
2026-04-15,HearthGuard,curseforge,26.1.1,0,1.75
2026-04-16,HearthGuard,curseforge,26.1.1,0,1.4
2026-04-17,HearthGuard,curseforge,26.1.1,0,1.1666666666666667
2026-04-18,HearthGuard,curseforge,26.1.1,0,1.0
2026-04-19,HearthGuard,curseforge,26.1.1,0,0.7142857142857143
2026-04-20,HearthGuard,curseforge,26.1.1,0,0.7142857142857143
2026-04-21,HearthGuard,curseforge,26.1.1,0,0.42857142857142855
2026-04-22,HearthGuard,curseforge,26.1.1,0,0.0
2026-04-23,HearthGuard,curseforge,26.1.1,0,0.0
2026-04-24,HearthGuard,curseforge,26.1.1,2,0.0
2026-04-25,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-04-26,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-04-27,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-04-28,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-04-29,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-04-30,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-05-01,HearthGuard,curseforge,26.1.1,0,0.2857142857142857
2026-04-11,HearthGuard,curseforge,26.1.2,43,
2026-04-12,HearthGuard,curseforge,26.1.2,26,43.0
2026-04-13,HearthGuard,curseforge,26.1.2,14,34.5
2026-04-14,HearthGuard,curseforge,26.1.2,9,27.666666666666668
2026-04-15,HearthGuard,curseforge,26.1.2,8,23.0
2026-04-16,HearthGuard,curseforge,26.1.2,12,20.0
2026-04-17,HearthGuard,curseforge,26.1.2,10,18.666666666666668
2026-04-18,HearthGuard,curseforge,26.1.2,20,17.428571428571427
2026-04-19,HearthGuard,curseforge,26.1.2,30,14.142857142857142
2026-04-20,HearthGuard,curseforge,26.1.2,7,14.714285714285714
2026-04-21,HearthGuard,curseforge,26.1.2,12,13.714285714285714
2026-04-22,HearthGuard,curseforge,26.1.2,17,14.142857142857142
2026-04-23,HearthGuard,curseforge,26.1.2,12,15.428571428571429
2026-04-24,HearthGuard,curseforge,26.1.2,13,15.428571428571429
2026-04-25,HearthGuard,curseforge,26.1.2,33,15.857142857142858
2026-04-26,HearthGuard,curseforge,26.1.2,13,17.714285714285715
2026-04-27,HearthGuard,curseforge,26.1.2,16,15.285714285714286
2026-04-28,HearthGuard,curseforge,26.1.2,14,16.571428571428573
2026-04-29,HearthGuard,curseforge,26.1.2,9,16.857142857142858
2026-04-30,HearthGuard,curseforge,26.1.2,16,15.714285714285714
2026-05-01,HearthGuard,curseforge,26.1.2,57,16.285714285714285
2026-04-11,HearthGuard,modrinth,1.21.1,5,
2026-04-12,HearthGuard,modrinth,1.21.1,0,5.0
2026-04-13,HearthGuard,modrinth,1.21.1,8,2.5
2026-04-14,HearthGuard,modrinth,1.21.1,1,4.333333333333333
2026-04-15,HearthGuard,modrinth,1.21.1,2,3.5
2026-04-16,HearthGuard,modrinth,1.21.1,1,3.2
2026-04-17,HearthGuard,modrinth,1.21.1,3,2.8333333333333335
2026-04-18,HearthGuard,modrinth,1.21.1,7,2.857142857142857
2026-04-19,HearthGuard,modrinth,1.21.1,4,3.142857142857143
2026-04-20,HearthGuard,modrinth,1.21.1,1,3.7142857142857144
2026-04-21,HearthGuard,modrinth,1.21.1,7,2.7142857142857144
2026-04-22,HearthGuard,modrinth,1.21.1,1,3.5714285714285716
2026-04-23,HearthGuard,modrinth,1.21.1,5,3.4285714285714284
2026-04-24,HearthGuard,modrinth,1.21.1,11,4.0
2026-04-25,HearthGuard,modrinth,1.21.1,1,5.142857142857143
2026-04-26,HearthGuard,modrinth,1.21.1,1,4.285714285714286
2026-04-27,HearthGuard,modrinth,1.21.1,2,3.857142857142857
2026-04-28,HearthGuard,modrinth,1.21.1,2,4.0
2026-04-29,HearthGuard,modrinth,1.21.1,4,3.2857142857142856
2026-04-30,HearthGuard,modrinth,1.21.1,7,3.7142857142857144
